date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:43:55	5546/5546	---MC-	200	added ('OK')	text/css	etag:W/%2215aa-56b8c18a28811%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/themes/cardealer/css/custom1.css?ver=4.9.7	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/themes/cardealer/css/custom137cb.css	(from http://cardealer.webtemplatemasters.com/)
18:43:55	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/plugins/tmm_content_composer/css/style-lc.css?ver=4.9.7	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/plugins/tmm_content_composer/css/style-lc37cb.css	(from http://cardealer.webtemplatemasters.com/)
18:43:58	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css?ver=6.7.1	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.89704.delayed	(from http://cardealer.webtemplatemasters.com/)
18:43:58	69692/69692	---MC-	200	added ('OK')	text/css	etag:W/%221103c-56b8c222bb141%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/plugins/tmm_content_composer/css/style-lc.css?ver=4.9.7	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/plugins/tmm_content_composer/css/style-lc37cb.css	(from http://cardealer.webtemplatemasters.com/)
18:43:59	21133/21133	---MC-	200	added ('OK')	text/css	etag:W/%22528d-56b8c231e01a3%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css?ver=6.7.1	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider9704.css	(from http://cardealer.webtemplatemasters.com/)
18:44:00	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/themes/cardealer/css/woo/woocommerce.css?ver=4.9.7	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/themes/cardealer/css/woo/woocommerce.a37cb.delayed	(from http://cardealer.webtemplatemasters.com/)
18:44:04	60164/60164	---MC-	200	added ('OK')	text/css	etag:W/%22eb04-56b8c18a28811%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/themes/cardealer/css/woo/woocommerce.css?ver=4.9.7	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/themes/cardealer/css/woo/woocommerce37cb.css	(from http://cardealer.webtemplatemasters.com/)
18:44:05	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-includes/js/jquery/jquery.cb8ff.delayed	(from http://cardealer.webtemplatemasters.com/)
18:44:08	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-includes/js/jquery/jquery-migrate.min.e330a.delayed	(from http://cardealer.webtemplatemasters.com/)
18:44:10	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-535cd76f6b200%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://cardealer.webtemplatemasters.com/)
18:44:10	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/themes/cardealer/js/jquery.modernizr.min.js?ver=4.9.7	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/themes/cardealer/js/jquery.modernizr.min.1037cb.delayed	(from http://cardealer.webtemplatemasters.com/)
18:44:10	97184/97184	---M--	200	added ('OK')	application/javascript	etag:%2217ba0-535cd76f6b200%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://cardealer.webtemplatemasters.com/)
18:44:11	9177/9177	---M--	200	added ('OK')	application/javascript	etag:%2223d9-56b8c18a241c1%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/themes/cardealer/js/jquery.modernizr.min.js?ver=4.9.7	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/themes/cardealer/js/jquery.modernizr.min37cb.js	(from http://cardealer.webtemplatemasters.com/)
18:44:12	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js?ver=1.19.0	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/plugins/LayerSlider/static/layerslider/js/greensock.12b3a6.delayed	(from http://cardealer.webtemplatemasters.com/)
18:44:14	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js?ver=6.7.1	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.149704.delayed	(from http://cardealer.webtemplatemasters.com/)
18:44:17	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js?ver=6.7.1	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.169704.delayed	(from http://cardealer.webtemplatemasters.com/)
18:44:19	117557/117557	---M--	200	added ('OK')	application/javascript	etag:%221cb35-56b8c231de64b%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js?ver=1.19.0	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/plugins/LayerSlider/static/layerslider/js/greensockb3a6.js	(from http://cardealer.webtemplatemasters.com/)
18:44:22	23831/23831	---M--	200	added ('OK')	application/javascript	etag:%225d17-56b8c231de64b%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js?ver=6.7.1	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions9704.js	(from http://cardealer.webtemplatemasters.com/)
18:44:23	926/926	---MC-	200	added ('OK')	text/xml	date:Sun,%2008%20Jul%202018%2016:44:24%20GMT	http://cardealer.webtemplatemasters.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/xmlrpc0db0.php	(from http://cardealer.webtemplatemasters.com/)
18:44:24	116492/116492	---M--	200	added ('OK')	application/javascript	etag:%221c70c-56b8c231de64b%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js?ver=6.7.1	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery9704.js	(from http://cardealer.webtemplatemasters.com/)
18:44:24	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-51f686732de00%22	http://cardealer.webtemplatemasters.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-includes/wlwmanifest.xml	(from http://cardealer.webtemplatemasters.com/)
18:44:25	2234/2234	---MC-	200	added ('OK')	application/json	date:Sun,%2008%20Jul%202018%2016:44:27%20GMT	http://cardealer.webtemplatemasters.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fcardealer.webtemplatemasters.com%2F	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-json/oembed/1.0/embed6b55.json	(from http://cardealer.webtemplatemasters.com/)
18:44:26	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/uploads/2014/09/logo.png	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/uploads/2014/09/logo.png	(from http://cardealer.webtemplatemasters.com/)
18:44:26	2333/2333	---MC-	200	added ('OK')	text/xml	date:Sun,%2008%20Jul%202018%2016:44:27%20GMT	http://cardealer.webtemplatemasters.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fcardealer.webtemplatemasters.com%2F&format=xml	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-json/oembed/1.0/embed400d	(from http://cardealer.webtemplatemasters.com/)
18:44:27	1354/1354	---M--	200	added ('OK')	image/png	etag:%2254a-5213ba9da5b00%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/uploads/2014/09/logo.png	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/uploads/2014/09/logo.png	(from http://cardealer.webtemplatemasters.com/)
18:44:29	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/uploads/2014/09/banner-728x90.gif	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/uploads/2014/09/banner-728x90.1e.delayed	(from http://cardealer.webtemplatemasters.com/)
18:44:29	33145/33145	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:44:29%20GMT	http://cardealer.webtemplatemasters.com/user-login/lost-password/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/user-login/lost-password/index.html	(from http://cardealer.webtemplatemasters.com/)
18:44:31	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/165/homeslide/5458406d09a8f.jpg	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/165/homeslide/5458406d09a8f.jpg	(from http://cardealer.webtemplatemasters.com/)
18:44:31	71485/71485	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:44:29%20GMT	http://cardealer.webtemplatemasters.com/shop/cart-page/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/shop/cart-page/index.html	(from http://cardealer.webtemplatemasters.com/)
18:44:33	3048/3048	---M--	200	added ('OK')	image/gif	etag:%22be8-503f0ca065400%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/uploads/2014/09/banner-728x90.gif	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/uploads/2014/09/banner-728x90.gif	(from http://cardealer.webtemplatemasters.com/)
18:44:39	94220/94220	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:44:36%20GMT	http://cardealer.webtemplatemasters.com/home/home-layerslider/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/home/home-layerslider/index.html	(from http://cardealer.webtemplatemasters.com/)
18:44:44	114874/114874	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:44:38%20GMT	http://cardealer.webtemplatemasters.com/home/home-alternate-1/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/home/home-alternate-1/index.html	(from http://cardealer.webtemplatemasters.com/)
18:44:45	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/169/homeslide/5458459953eec.jpg	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/169/homeslide/5458459953eec.jpg	(from http://cardealer.webtemplatemasters.com/)
18:44:45	81050/81050	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:44:42%20GMT	http://cardealer.webtemplatemasters.com/home/home-alternate-2/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/home/home-alternate-2/index.html	(from http://cardealer.webtemplatemasters.com/)
18:44:52	88741/88741	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:44:48%20GMT	http://cardealer.webtemplatemasters.com/home/home-alternate-3/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/home/home-alternate-3/index.html	(from http://cardealer.webtemplatemasters.com/)
18:44:52	70717/70717	---M--	200	added ('OK')	image/jpeg	etag:%221143d-5707e68c40f88%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/165/homeslide/5458406d09a8f.jpg	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/165/homeslide/5458406d09a8f.jpg	(from http://cardealer.webtemplatemasters.com/)
18:44:53	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/184/homeslide/54584487e30d2.jpg	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/184/homeslide/54584487e30d2.24.delayed	(from http://cardealer.webtemplatemasters.com/)
18:44:55	112215/112215	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:44:55%20GMT	http://cardealer.webtemplatemasters.com/inventory/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/inventory/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:02	103568/103568	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:44:56%20GMT	http://cardealer.webtemplatemasters.com/inventory/inventory-alternate-1/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/inventory/inventory-alternate-1/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:02	57840/57840	---M--	200	added ('OK')	image/jpeg	etag:%22e1f0-5707f9d17494b%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/169/homeslide/5458459953eec.jpg	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/169/homeslide/5458459953eec.jpg	(from http://cardealer.webtemplatemasters.com/)
18:45:07	112991/112991	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:45:05%20GMT	http://cardealer.webtemplatemasters.com/inventory/inventory-alternate-2/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/inventory/inventory-alternate-2/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:09	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/431/homeslide/545843e171597.jpg	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/431/homeslide/545843e171597.jpg	(from http://cardealer.webtemplatemasters.com/)
18:45:11	123182/123182	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:45:06%20GMT	http://cardealer.webtemplatemasters.com/inventory/cars-by-make-location/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/inventory/cars-by-make-location/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:13	57595/57595	---M--	200	added ('OK')	image/jpeg	etag:%22e0fb-5707f9d18b494%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/184/homeslide/54584487e30d2.jpg	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/184/homeslide/54584487e30d2.jpg	(from http://cardealer.webtemplatemasters.com/)
18:45:17	90503/90503	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:45:13%20GMT	http://cardealer.webtemplatemasters.com/inventory/cars-by-make-body/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/inventory/cars-by-make-body/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:18	53834/53834	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:45:16%20GMT	http://cardealer.webtemplatemasters.com/blog/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/blog/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:21	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/431/thumb/545843e171597.jpg	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/431/thumb/545843e171597.jpg	(from http://cardealer.webtemplatemasters.com/)
18:45:21	50458/50458	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:45:20%20GMT	http://cardealer.webtemplatemasters.com/blog-alternate/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/blog-alternate/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:23	47620/47620	---M--	200	added ('OK')	image/jpeg	etag:%22ba04-5707f9d1608f9%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/431/homeslide/545843e171597.jpg	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/431/homeslide/545843e171597.jpg	(from http://cardealer.webtemplatemasters.com/)
18:45:24	332578/332578	---MC-	200	added ('OK')	application/json	date:Sun,%2008%20Jul%202018%2016:44:24%20GMT	http://cardealer.webtemplatemasters.com/wp-json/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-json/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:26	52395/52395	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:45:24%20GMT	http://cardealer.webtemplatemasters.com/lincoln-mkx-concept-bows-in-beijing/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/lincoln-mkx-concept-bows-in-beijing/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:26	20643/20643	---M--	200	added ('OK')	image/jpeg	etag:%2250a3-5213ba7968580%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/431/thumb/545843e171597.jpg	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/431/thumb/545843e171597.jpg	(from http://cardealer.webtemplatemasters.com/)
18:45:28	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/184/thumb/54584487e30d2.jpg	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/184/thumb/54584487e30d2.2a.delayed	(from http://cardealer.webtemplatemasters.com/)
18:45:28	37535/37535	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:45:27%20GMT	http://cardealer.webtemplatemasters.com/column-layout/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/column-layout/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:30	32275/32275	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:45:28%20GMT	http://cardealer.webtemplatemasters.com/compare-listing/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/compare-listing/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:30	46450/46450	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:45:28%20GMT	http://cardealer.webtemplatemasters.com/column-layout/services/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/column-layout/services/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:33	53488/53488	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:45:31%20GMT	http://cardealer.webtemplatemasters.com/dealer-page/dealer_id/2/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/dealer-page/dealer_id/2/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:34	40236/40236	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:45:34%20GMT	http://cardealer.webtemplatemasters.com/faq-toggle/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/faq-toggle/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:34	22743/22743	---M--	200	added ('OK')	image/jpeg	etag:%2258d7-5213ba7968580%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/184/thumb/54584487e30d2.jpg	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/184/thumb/54584487e30d2.jpg	(from http://cardealer.webtemplatemasters.com/)
18:45:37	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/184/thumb/5378d376d24ee.jpg	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/184/thumb/5378d376d24ee.jpg	(from http://cardealer.webtemplatemasters.com/)
18:45:37	37601/37601	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:45:34%20GMT	http://cardealer.webtemplatemasters.com/images-and-floats/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/images-and-floats/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:37	34796/34796	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:45:35%20GMT	http://cardealer.webtemplatemasters.com/sales-reps/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/sales-reps/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:40	32752/32752	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:45:38%20GMT	http://cardealer.webtemplatemasters.com/personal-profile/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/personal-profile/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:41	32673/32673	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:45:40%20GMT	http://cardealer.webtemplatemasters.com/dealers-cars-garage/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/dealers-cars-garage/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:42	32555/32555	---MC-	200	added ('OK')	text/html	date:Sun,%2008%20Jul%202018%2016:45:42%20GMT	http://cardealer.webtemplatemasters.com/edit-car/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/edit-car/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:42	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2008%20Jul%202018%2016:45:44%20GMT	http://cardealer.webtemplatemasters.com/pricing-plans/	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/pricing-plans/index.html	(from http://cardealer.webtemplatemasters.com/)
18:45:44	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		http://cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/184/thumb/5378d390beec9.jpg	C:/My%20Web%20Sites/jomat/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/184/thumb/5378d390beec9.jpg	(from http://cardealer.webtemplatemasters.com/)
18:45:44	19865/19865	---M--	200	added ('OK')	image/jpeg	etag:%224d99-5213ba7968580%22	http://10.150.35.18:80/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/184/thumb/5378d376d24ee.jpg	C:/My%20Web%20Sites/jomat/10.150.35.18_80/cardealer.webtemplatemasters.com/wp-content/uploads/thememakers/cardealer/2/184/thumb/5378d376d24ee.jpg	(from http://cardealer.webtemplatemasters.com/)
